"id","nikfilter","tanggalawalfilter","tanggalakhirfilter","vendorfilter","apfilter","unitfilter","created_at","updated_at"
5626,"1591.MTK.0419",2025-02-10,2025-02-15,SEMUA,"""PT MITRA MAHKOTA BUANA""",DMK,2025-02-11 13:24:29.000,2025-02-11 13:24:29.000
5627,"2542.PM.1124",2025-02-10,2025-02-15,SEMUA,"""PT LAWU ABADI NUSA""",JMR,2025-02-11 13:27:18.000,2025-02-11 13:27:18.000
5632,"2010.MTK.0123",2025-02-09,2025-02-15,SEMUA,"""PT LAJU SATWA WISESA""",JBG,2025-02-11 13:32:45.000,2025-02-11 13:32:45.000
5637,"2101.MTK.0623",2025-02-09,2025-02-15,SEMUA,"""PT LAWU ABADI NUSA""",SKH,2025-02-11 13:44:20.000,2025-02-11 13:44:20.000
5638,"1354.MTK.1217",2025-02-14,2025-02-14,SEMUA,"""PT MURIA JAYA RAYA""",JPR,2025-02-11 13:44:46.000,2025-02-11 13:44:46.000
5639,"2513.PM.0924",2025-02-11,2025-02-11,SEMUA,"""PT KARYA SATWA MULIA""",PNG,2025-02-11 13:47:33.000,2025-02-11 13:47:33.000
5640,"2052.MTK.0423",2025-02-11,2025-02-14,SEMUA,"""PT MITRA MAHKOTA BUANA""",SEMUA,2025-02-11 14:04:40.000,2025-02-11 14:04:40.000
5644,"0422.MTK.0215",2025-02-14,2025-02-14,SEMUA,"""PT LAWU ABADI NUSA""",SEMUA,2025-02-11 14:08:14.000,2025-02-11 14:08:14.000
5649,"0022.MTK.1009",2025-02-09,2025-02-15,BROKER,"[""PT MURIA JAYA RAYA""]",SEMUA,2025-02-11 14:17:19.000,2025-02-11 14:17:19.000
5650,"1088.MTK.0916",2025-02-10,2025-02-15,SEMUA,"""PT MURIA JAYA RAYA""",BLR,2025-02-11 14:20:43.000,2025-02-11 14:20:43.000
5651,"1586.MTK.0419",2025-02-10,2025-02-15,SEMUA,"""PT MITRA UNGGAS MAKMUR""",BTL,2025-02-11 14:21:30.000,2025-02-11 14:21:30.000
5655,"2445.PM.0624",,,SEMUA,"""PT MITRA PETERNAKAN UNGGAS""",BGR,2025-02-11 14:26:13.000,2025-02-11 14:26:13.000
5657,"0306.MTK.1113",2025-02-10,2025-02-15,SEMUA,"""PT MURIA JAYA RAYA""",PWD,2025-02-11 14:28:35.000,2025-02-11 14:28:35.000
5675,"1428.MTK.0318",2025-02-11,2025-02-15,SEMUA,"""PT MITRA PETERNAKAN UNGGAS""",PTR,2025-02-11 15:09:59.000,2025-02-11 15:09:59.000
5681,"0911.MTK.0516",2025-02-10,2025-02-15,SEMUA,"""PT KEDU LINTAS BERBINTANG""",WNB,2025-02-11 15:21:42.000,2025-02-11 15:21:42.000
5686,"1164.MTK.1116",2025-02-10,2025-02-16,SEMUA,"""PT MITRA PETERNAKAN UNGGAS""",BGR,2025-02-11 15:41:31.000,2025-02-11 15:41:31.000
5687,"1622.MTK.0519",2025-02-10,2025-02-15,SEMUA,"""PT KEDU LINTAS BERBINTANG""",MGL,2025-02-11 15:44:18.000,2025-02-11 15:44:18.000
5688,"0244.MTK.0913",2025-01-05,2025-01-11,SEMUA,"""PT GILAR PERWIRA SATRIA""",PBG,2025-02-11 15:47:36.000,2025-02-11 15:47:36.000
5693,"1767.MTK.0121",2025-02-09,2025-02-15,SEMUA,"""PT GILAR PERWIRA SATRIA""",SEMUA,2025-02-11 15:58:12.000,2025-02-11 15:58:12.000
5694,"0049.MTK.0611",2025-02-06,,SEMUA,"""PT MITRA MAHKOTA BUANA""",UNG,2025-02-11 16:05:23.000,2025-02-11 16:05:23.000
5695,"0529.MTK.0915",2025-02-09,2025-02-15,SEMUA,"""PT MITRA MAHKOTA BUANA""",BJA,2025-02-11 16:11:08.000,2025-02-11 16:11:08.000
5696,"0494.MTK.0815",2025-02-10,2025-02-15,SEMUA,"""PT MITRA UNGGAS MAKMUR""",GKD,2025-02-11 16:17:38.000,2025-02-11 16:17:38.000
5698,"2428.PM.0524",2025-02-10,2025-02-15,SEMUA,"""PT LAWU ABADI NUSA""",KLT,2025-02-11 17:25:05.000,2025-02-11 17:25:05.000
